Nivel de estudios,Comunidad Autónoma,ccaa,Tipo,Universidad,Modalidad,Centro,Provincia,Centro,Títuilo,Titulación,Idioma extranjero,Nota de corte
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias Químicas,PCEO Grado en Química / Grado en Bioquímica,Doble Grado en Química / Grado en Bioquímica,No,"12,98"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias Económicas y Empresariales,PCEO Grado en Economía / Grado en Matemáticas y Ciencia de Datos,Doble Grado en Economía / Grado en Matemáticas y Ciencia de Datos,No,"12,98"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias Económicas y Empresariales,PCEO Grado en Economía / Grado en Relaciones Internacionales,Doble Grado en Economía / Grado en Relaciones Internacionales,No,"12,97"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias Sociales y Jurídicas,PCEO Grado en Estudios Internacionales / Grado en Ciencias Políticas,Doble Grado en Estudios Internacionales / Grado en Ciencias Políticas,Sí,"12,96"
GRADO,Extremadura,Extremadura,Pública,Universidad de Extremadura,Presencial,Propio,Badajoz,Facultad de Medicina y Ciencias de la Salud,Grado en Medicina,Grado en Medicina,No,"12,95"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Propio,Madrid,"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",Grado en Biotecnología,Grado en Biotecnología,No,"12,93"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Propio,Madrid,Escuela Técnica Superior de Ingeniería y Diseño Industrial,PCEO Grado en Ingeniería en Diseño Industrial y Desarrollo Producto / Grado en Ingeniería Mecánica,Doble Grado en Ingeniería en Diseño Industrial y Desarrollo Producto / Grado en Ingeniería Mecánica,No,"12,9"
GRADO,Castilla y León,Castilla y León,Pública,Universidad de Salamanca,Presencial,Propio,Salamanca,Facultad de Ciencias,Grado en Matemáticas,Grado en Matemáticas,No,"12,89"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Politécnica de Valencia,Presencial,Propio,Valencia,Escuela Técnica Superior de Ingeniería Industrial,Grado en Ingeniería Biomédica,Grado en Ingeniería Biomédica,No,"12,89"
GRADO,Castilla y León,Castilla y León,Pública,Universidad de Valladolid,Presencial,Propio,Valladolid,Facultad de Medicina,Grado en Medicina,Grado en Medicina,No,"12,89"
GRADO,Castilla y León,Castilla y León,Pública,Universidad de Valladolid,Presencial,Propio,Valladolid,Facultad de Medicina,Grado en Biomedicina y Terapias Avanzadas,Grado en Biomedicina y Terapias Avanzadas,No,"12,87"
DOBLE GRADO,País Vasco,País Vasco,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Propio,Bizkaia,Facultad de Ciencia y Tecnología,PCEO Grado en Física / Grado en Ingeniería Electrónica,Doble Grado en Física / Grado en Ingeniería Electrónica,No,"12,87"
DOBLE GRADO,Cataluña,Cataluña,Pública,Universidad de Barcelona,Presencial,Propio,Barcelona,Facultad de Matemáticas e Informática,PCEO Grado en Matemáticas / Grado en Física,Doble Grado en Matemáticas / Grado en Física,No,"12,86"
DOBLE GRADO,Navarra (Comunidad Foral de),Navarra,Pública,Universidad Pública de Navarra,Presencial,Propio,Navarra,Escuela Técnica Superior de Ingeniería Agronómica y Biociencias,PCEO Grado en Ciencia de Datos / Grado en Biotecnología,Doble Grado en Ciencia de Datos / Grado en Biotecnología,No,"12,86"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Granada,Presencial,Propio,Granada,Facultad de Filosofía y Letras,PCEO Grado en Estudios Ingleses / Grado en Filología Hispánica,Doble Grado en Estudios Ingleses / Grado en Filología Hispánica,No,"12,86"
GRADO,Cataluña,Cataluña,Pública,Universidad Politécnica de Catalunya,Presencial,Propio,Barcelona,"Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa",Grado en Ingeniería en Tecnologías Aeroespaciales,Grado en Ingeniería en Tecnologías Aeroespaciales,No,"12,86"
GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Facultad de Biología,Grado en Bioquímica,Grado en Bioquímica,No,"12,85"
GRADO,Castilla y León,Castilla y León,Pública,Universidad de Salamanca,Presencial,Propio,Salamanca,Facultad de Medicina,Grado en Odontología,Grado en Odontología,No,"12,85"
GRADO,Navarra (Comunidad Foral de),Navarra,Pública,Universidad Pública de Navarra,Presencial,Propio,Navarra,Facultad de Ciencias de la Salud,Grado en Medicina,Grado en Medicina,No,"12,84"
GRADO,Asturias (Principado de),Asturias,Pública,Universidad de Oviedo,Presencial,Propio,Asturias,Facultad de Medicina y Ciencias de la Salud,Grado en Medicina,Grado en Medicina,No,"12,83"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Propio,Madrid,Escuela Politécnica Superior,Grado en Ingeniería Biomédica / Bachelor in Biomedical Engineering,Grado en Ingeniería Biomédica / Bachelor in Biomedical Engineering,Sí,"12,83"
GRADO,Cataluña,Cataluña,Pública,Universidad Politécnica de Catalunya,Presencial,Propio,Barcelona,Facultad de Matemáticas y Estadística,Grado en Matemáticas,Grado en Matemáticas,No,"12,82"
GRADO,Cantabria,Cantabria,Pública,Universidad de Cantabria,Presencial,Propio,Cantabria,Facultad de Medicina,Grado en Ciencias Biomédicas,Grado en Ciencias Biomédicas,No,"12,81"
GRADO,País Vasco,País Vasco,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Propio,Bizkaia,Escuela de Ingeniería de Bilbao,Grado en Biomedical Engineering,Grado en Biomedical Engineering,Sí,"12,8"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Escuela Técnica Superior de Ingeniería Informática. Campus de Móstoles,PCEO Grado en Ingeniería del Software / Grado en Matemáticas,Doble Grado en Ingeniería del Software / Grado en Matemáticas,No,"12,8"
