CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Comunidad de Madrid,Madrid,Privada,Universidad Francisco de Vitoria,Presencial,Facultad de Ciencias de la Comunicación,Doble Grado en Periodismo y Filosofía / Grado en Política y Economía,No,---
Comunitat Valenciana,Valencia,Privada,Universidad Católica de Valencia San Vicente Mártir,Semi/No Presencial,"Facultad de Filosofía, Letras y Humanidades",Grado en Filosofía,No,---
Comunitat Valenciana,Valencia,Privada,Universidad Europea de Valencia,Presencial,Facultad de Ciencias Sociales,Grado en Criminología,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Francisco de Vitoria,Presencial,"Facultad de Derecho, Empresa y Gobierno",Doble Grado en Derecho / Grado en Criminología,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Pontificia Comillas,Presencial,Universidad Pontificia Comillas,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,---
Cataluña,Barcelona,Privada,Universidad Ramon Llull,Presencial,Facultad de Derecho ESADE,Grado en Gobernanza Global. Economía y Orden Legal / Bachelor in Global Governance. Economics and Legal Order,Sí,---
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Derecho,Doble Grado en Traducción e Interpretación / Grado en Derecho,No,---
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Varias modalidades,Departamento de Medicina y Ciencias de la Vida,Grado en Nutrición Humana y Dietética,Sí,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Centro de Formación Interdisciplinaria Superior (CFIS),Doble Grado en Ingeniería Informática / Grado en Tecnologías de Caminos. Canales y Puertos,No,---
Comunitat Valenciana,Valencia,Privada,Universidad Católica de Valencia San Vicente Mártir,Presencial,Facultad de Veterinaria y Ciencias Experimentales,Grado en Biotecnología,No,---
Castilla y León,Salamanca,Privada,Universidad Pontificia de Salamanca,Varias modalidades,Facultad de Educación,Grado en Maestro en Educación Infantil,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Pontificia de Salamanca,Varias modalidades,Centro de Enseñanza Superior Escuni,Grado en Maestro en Educación Infantil,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Derecho,Grado en Relaciones Internacionales y Unión Europea,Sí,---
Comunidad de Madrid,Madrid,Privada,Universidad Francisco de Vitoria,Presencial,"Facultad de Derecho, Empresa y Gobierno",Grado en Economía y Finanzas,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Varias modalidades,Centro Universitario Euncet,Doble Grado en Márketing y Comunicación Digital / Grado en Administración y Dirección de empresas,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Antonio de Nebrija,Presencial,Facultad de Ciencias Sociales,Doble Grado en Administración de Empresas / Grado en Turismo,Sí,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Centro de Formación Interdisciplinaria Superior (CFIS),Doble Grado en Ingeniería Civil / Grado en Ingeniería Informática,No,---
Andalucía,Córdoba,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias Sociales y Humanas (Sede de Córdoba),Grado en Psicología,No,---
Andalucía,Sevilla,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias Sociales y Humanas (Sede de Sevilla),Grado en Psicología,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Humanidades y Ciencias de la Comunicación,Grado en Educación Infantil,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Europea de Madrid,Presencial,"Facultad de Medicina, Salud y Deportes. Campus Villaviciosa y Alcobendas",Doble Grado en Ciencias de la Actividad Física y del Deporte (plan nuevo) / Grado en Maestros de Educación Primaria,No,---
Navarra,Navarra,Privada,Universidad de Navarra,Presencial,Facultad de Filosofía y Letras,Doble Grado en Relaciones Internacionales / Grado en Historia,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Humanidades y Ciencias de la Comunicación,Doble Grado en Comunicación Digital / Grado en Publicidad y Relaciones Públicas (Plan 2019),Sí,---
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Ciencias Sociosanitarias,Doble Grado en Ciencias de la Actividad Física y del Deporte / Grado en Nutrición Humana y Dietética,No,---
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Varias modalidades,Facultad de Ciencias,Grado en Física,Sí,---
País Vasco,Álava,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Escuela de Ingeniería de Vitoria-Gasteiz,Doble Grado en Ingeniería Civil / Grado en Arquitectura Técnica,No,---
País Vasco,Guipúzcoa,Privada,Universidad de Navarra,Presencial,Escuela de Ingeniería,Doble Grado en Ingeniería Mecánica / Grado en Ingeniería en Diseño Industrial y Desarrollo de Productos,No,---
Navarra,Navarra,Pública,Universidad Pública de Navarra,Presencial,Facultad de Ciencias Jurídicas,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,Sí,---
País Vasco,Vizcaya,Privada,Universidad de Deusto,Presencial,Facultad de Educación y Deporte,Grado en Educación Social,No,---
País Vasco,Vizcaya,Privada,Universidad de Deusto,Presencial,Facultad de Psicología y Educación,Grado en Educación Social,No,---
Región de Murcia,Murcia,Privada,Universidad Católica San Antonio,Varias modalidades,Facultad de Ciencias Jurídicas y de la Empresa,Grado en Administración y Dirección de Empresas / Bachelor in Business Administration,Sí,---
Región de Murcia,Murcia,Privada,Universidad Católica San Antonio,Presencial,Escuela Politécnica Superior,Grado en Ingeniería de Edificación,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Antonio de Nebrija,Presencial,Universidad Antonio de Nebrija,Doble Grado en Diseño industrial y desarrollo de producto / Grado en Diseño de interiores,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Humanidades y Ciencias de la Comunicación,Doble Grado en Periodismo / Grado en Comunicación Audiovisual (Plan 2019),Sí,---
Andalucía,Córdoba,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias Jurídicas y Políticas (Sede de Córdoba),Grado en Criminología,No,---
Andalucía,Sevilla,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias Jurídicas y Políticas (Sede de Sevilla),Grado en Criminología,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada,Doble Grado en Publicidad y Relaciones Públicas / Grado en Marketing,No,---
Cataluña,Girona,Pública,Universidad de Girona,Presencial,Universidad de Girona,Doble Grado en Administración y Dirección de Empresas / Grado en Economía,No,---
Cataluña,Barcelona,Privada,Universidad Ramon Llull,Presencial,Facultat de Comunicació i Relacions Internacionals Blanquerna/Blanquerna School of Communication and International Relations/Facultad de Comunicación y Relaciones Internacionales Blanquerna,Grado en Relaciones Internacionales / Bachelor in International Relations,Sí,---
Comunidad de Madrid,Madrid,Privada,Universidad Antonio de Nebrija,Presencial,Facultad de Ciencias Sociales,Doble Grado en Economía y negocios internacionales / Grado en Derecho,Sí,---
Comunidad de Madrid,Madrid,Privada,Universidad Internacional de la Empresa,Presencial,Facultad de Ciencias Sociales Aplicadas y de la Comunicación,Grado en Administración y Dirección de Empresas / Bachelor in Business Administration,No,---
Castilla y León,Ávila,Privada,Universidad Católica Santa Teresa de Jesús de Avila,Presencial,Facultad de Ciencias y Artes,Grado en Ingeniería Forestal y del Medio Natural,No,---
Región de Murcia,Murcia,Privada,Universidad Católica San Antonio,Presencial,Facultad de Ciencias de la Salud,Grado en Terapia Ocupacional,No,---
Andalucía,Sevilla,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias Económicas y Empresariales. (Sede de Sevilla),Doble Grado en Economía / Grado en Datos y Analítica de Negocio (Data and Business Analytics),No,---
Comunidad de Madrid,Madrid,Privada,Universidad Francisco de Vitoria,Presencial,Facultad de Educación y Humanidades,Doble Grado en Humanidades / Grado en Filosofía. Política y Economía,No,---
País Vasco,Vizcaya,Privada,Universidad de Deusto,Presencial,Facultad de Ciencias de la Salud,Grado en Medicina,No,---
Castilla y León,Ávila,Privada,Universidad Católica Santa Teresa de Jesús de Avila,Semi/No Presencial,Facultad de Ciencias y Artes,Grado en Bioinformática,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Antonio de Nebrija,Presencial,Facultad de Comunicación y Artes,Grado en Comunicación Audiovisual,No,---
Andalucía,Córdoba,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias Económicas y Empresariales. (Sede de Córdoba),Grado en Administración y Dirección de Empresas,No,---
Andalucía,Sevilla,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias Económicas y Empresariales. (Sede de Sevilla),Grado en Administración y Dirección de Empresas,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Economía / Grado en Administración y Dirección de Empresas,Sí,---
País Vasco,Guipúzcoa,Privada,Universidad de Navarra,Presencial,Escuela de Ingeniería,Grado en Ingeniería en Diseño Industrial y Desarrollo de Productos,No,---
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Facultad de Letras,Doble Grado en Lenguas Aplicadas y Traducción / Grado en Filología Hispánica,Sí,---
Castilla y León,Segovia,Privada,IE Universidad,Presencial,Facultad de Ciencias Experimentales,Grado en Ciencias Ambientales para la Sostenibilidad / Bachelor in Environmental Sciences for Sustainability,Sí,---
Comunidad de Madrid,Madrid,Privada,Universidad Francisco de Vitoria,Presencial,"Facultad de Derecho, Empresa y Gobierno",Doble Grado en Ciberseguridad / Grado en Análisis de negocios,No,---
Comunidad de Madrid,Madrid,Privada,CUNEF Universidad,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Informática,No,---
Comunidad de Madrid,Madrid,Privada,CUNEF Universidad,Presencial,"Facultad de Empresa, Economía y Derecho",Grado en Estudios Internacionales en Empresa y Economía / Bachelor in International Business and Economics,Sí,---
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Administración y Dirección de Empresas,No,---
Cataluña,Barcelona,Privada,Universidad Oberta de Catalunya,Semi/No Presencial,Universitat Oberta de Catalunya,Grado en Relaciones Internacionales,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid,Doble Grado en Relaciones Internacionales / Grado en Protocolo. Organización de eventos y Comunicación Corporativa,Sí,---
Andalucía,Granada,Pública,Universidad de Granada,Varias modalidades,Facultad de Ciencias de la Salud,Grado en Terapia Ocupacional,Sí,---
Región de Murcia,Murcia,Privada,Universidad Católica San Antonio,Presencial,Centro Universitario UCAM. Cartagena,Grado en Ciencias de la Actividad Física y del Deporte / Bachelor in Physical Activity and Sport Sciences,No,---
Región de Murcia,Murcia,Privada,Universidad Católica San Antonio,Presencial,Facultad de Deporte,Grado en Ciencias de la Actividad Física y del Deporte / Bachelor in Physical Activity and Sport Sciences,No,---
País Vasco,Guipúzcoa,Privada,Universidad de Navarra,Presencial,Escuela de Ingeniería,Grado en Ingeniería Mecánica,No,---
Cataluña,Barcelona,Privada,Universidad Ramon Llull,Presencial,"Facultad de Psicología, Ciencias de la Educación y del Deporte Blanquerna",Grado en Ciencias de la Actividad Física y del Deporte,No,---
País Vasco,Guipúzcoa,Privada,Universidad de Navarra,Presencial,Escuela de Ingeniería,Grado en Ingeniería Eléctrica,No,---
Región de Murcia,Murcia,Privada,Universidad Católica San Antonio,Presencial,Facultad de Ciencias de la Salud,Grado en Podología,No,---
Andalucía,Sevilla,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias de la Salud (Sede de Sevilla),Doble Grado en Farmacia / Grado en Nutrición Humana y Dietética,No,---
Aragón,Zaragoza,Privada,Universidad San Jorge,Presencial,Facultad de Ciencias de la Salud,Grado en Ciencias de la Actividad Física y del Deporte,No,---
