CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Derecho,Grado en Ciencias Criminológicas y de la Seguridad,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Ciencias Criminológicas y de la Seguridad,No,---
Castilla y León,Burgos,Privada,Universidad Internacional Isabel I de Castilla,Semi/No Presencial,Facultad de Ciencias de la Salud,Grado en Logopedia,No,---
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Turismo y Finanzas,Doble Grado en Finanzas y Contabilidad / Grado en Relaciones Laborales y Recursos Humanos,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Europea de Madrid,Presencial,"Facultad de Ciencias Económicas, Empresariales y de la Comunicación",Grado en Comunicación Audiovisual,Sí,---
Comunidad de Madrid,Madrid,Privada,Universidad Camilo José Cela,Varias modalidades,Centro Universitario de Tecnología y Arte Digital (U-Tad),Grado en Ilustración y Desarrollo Visual / Illustration and Visual Development,Sí,---
Comunidad de Madrid,Madrid,Privada,Universidad Europea de Madrid,Presencial,"Escuela de Arquitectura, Ingeniería y Diseño. Campus Villaviciosa y Alcobendas",Grado en Ingeniería en Sistemas Industriales / Industrial Systems Engineering,Sí,---
Cataluña,Barcelona,Privada,Universidad Ramon Llull,Presencial,La Salle Digital Engineering School/Escola Tècnica Superior d´Enginyeria La Salle/Escuela Técnica Superior de Ingeniería La Salle,Grado en Ingeniería Informática,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Semi/No Presencial,Facultad de Ciencias Jurídicas y Sociales. Campus de Alcorcón,Doble Grado en Lengua de Signos Española y Comunidad Sorda / Grado en Educación Primaria,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Europea de Madrid,Presencial,Facultad de Ciencias Biomédicas y de la Salud. Campus Villaviciosa y Alcobendas,Grado en Psicología,Sí,---
Comunitat Valenciana,Valencia,Privada,Universidad Católica de Valencia San Vicente Mártir,Presencial,Facultad de Magisterio y Ciencias de la Educación,Doble Grado en Educación Social / Grado en Educación Primaria,No,---
Comunitat Valenciana,Valencia,Privada,Universidad Católica de Valencia San Vicente Mártir,Presencial,Universidad Católica de Valencia San Vicente Mártir,Doble Grado en Educación Social / Grado en Educación Primaria,No,---
Baleares,Baleares,Privada,Universidad Pontificia Comillas,Presencial,Centro de Enseñanza Superior Alberta Giménez,Doble Grado en Educación Infantil / Grado en Educación Primaria,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Pontificia Comillas,Presencial,Facultad de Ciencias Humanas y Sociales,Doble Grado en Educación Infantil / Grado en Educación Primaria,No,---
País Vasco,Álava,Privada,Universidad Euneiz,Presencial,Facultad de Ciencias de la Salud,Doble Grado en Fisioterapia / Grado en Ciencias de la Actividad Física y del Deporte,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Europea de Madrid,Varias modalidades,"Escuela de Arquitectura, Ingeniería y Diseño. Campus Villaviciosa y Alcobendas",Doble Grado en Diseño de Videojuegos / Grado en Ingeniería Informática,No,---
Castilla y León,Burgos,Privada,Universidad Internacional Isabel I de Castilla,Semi/No Presencial,Facultad de Criminología,Grado en Criminología,No,---
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Comercio,Doble Grado en Comercio / Grado en Relaciones laborales y Recursos humanos,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Antonio de Nebrija,Varias modalidades,Facultad de Ciencias Sociales,Grado en Seguridad,No,---
Canarias,Las Palmas,Privada,Universidad Fernando Pessoa-Canarias (UFP-C),Varias modalidades,Facultad de Ciencias y Tecnología (FCT),Grado en Óptica y Optometría,Sí,---
Región de Murcia,Murcia,Privada,Universidad Católica San Antonio,Semi/No Presencial,Centro Universitario UCAM. Cartagena,Grado en Criminología,No,---
Región de Murcia,Murcia,Privada,Universidad Católica San Antonio,Semi/No Presencial,Facultad de Ciencias Jurídicas y de la Empresa,Grado en Criminología,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería Matemática / Grado en Física,No,---
País Vasco,Álava,Privada,Universidad Euneiz,Presencial,Facultad de Nuevas Tecnologías Interactivas,Grado en Diseño y Desarrollo de Videojuegos,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Semi/No Presencial,Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada,Doble Grado en Bellas Artes / Grado en Turismo,No,---
Castilla y León,Ávila,Privada,Universidad Católica Santa Teresa de Jesús de Avila,Varias modalidades,Facultad de Ciencias y Artes,Grado en Diseño y Desarrollo de Videojuegos y Entornos Virtuales,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Centro de Formación Interdisciplinaria Superior (CFIS),Doble Grado en Ingeniería de Tecnologías y Servicios de Telecomunicación / Grado en Ingeniería Informática,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Economía / Grado en Relaciones Internacionales y Unión Europea (Plan 2019),Sí,---
Castilla y León,Valladolid,Privada,Universidad Europea Miguel de Cervantes,Semi/No Presencial,Facultad de Ciencias Sociales,Grado en Educación Primaria,No,---
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Ciencias del Mar y Ambientales,Doble Grado en CC Químicas / Grado en CC Ambientales,No,---
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Ciencias,Doble Grado en CC Químicas / Grado en CC Ambientales,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Antonio de Nebrija,Presencial,Facultad de Ciencias de la Vida y de la Naturaleza,Doble Grado en Psicología / Grado en Criminología y Ciencias Forenses,No,---
Comunidad de Madrid,Madrid,Privada,CUNEF Universidad,Presencial,Escuela Politécnica Superior,Doble Grado en Economía / Grado en Ingeniería Matemática,No,---
Castilla y León,Ávila,Privada,Universidad Católica Santa Teresa de Jesús de Avila,Varias modalidades,Facultad de Ciencias Sociales y Jurídicas,Grado en Derecho,No,---
